Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow
2490493650,"Apr 5, 2019, 1:01:23 PM",Morning Run,Run,,1989,6.3,,FALSE,,activities/2645394465.fit.gz,0,,1989,1872,4.800000191,,,,174.5,180.1999969,3.400000095,0.028570522,,,87,83.66469574,,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493665,"Apr 7, 2019, 1:24:09 PM",Morning Run,Run,,4661,16.1,,FALSE,,activities/2645394467.fit.gz,0,,4661,4444,4.400000095,,,,196.8000031,218.8999939,5.5,0.003105609,,,87,83.82913971,,,,,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495107248,"Jul 1, 2019, 12:23:23 PM",Bertha/Helipad/Bertha/Helipad/Bertha,Run,Trying to get those mountain legs back. Not going to be easy. ,4980,12.88,225,FALSE,,activities/2650331594.fit.gz,0,,4980,4694,4.900000095,,308,329,394.7999878,545.7999878,43.59999847,0.055878494,,,98,81.41860199,185,169,,,733,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498314251,"Jul 2, 2019, 1:08:46 PM",Alter G,Run,This was actually 6 miles on the alter G haha,2701,6.03,13,FALSE,,activities/2653658450.fit.gz,0,,2701,2701,2.700000048,,,,,,0,0,,,85,82.92170715,144,129,,,279,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500672235,"Jul 3, 2019, 12:35:03 PM",Casino trails with Benji,Run,,2780,9.66,98,FALSE,,activities/2656083666.fit.gz,0,,2780,2759,4.199999809,,22,31,333.6000061,347.2000122,19.10000038,-0.02896332,,,90,83.37001038,178,162,,,444,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503481713,"Jul 4, 2019, 1:27:02 PM",Morning Run,Run,,1050,3.48,29,FALSE,,activities/2658954959.fit.gz,0,,1050,1050,3.799999952,,22,9,1968.199951,1990.199951,3.599999905,0.028683705,,,88,84.01625061,167,154,,,170,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503585091,"Jul 4, 2019, 2:17:48 PM",Downtown Flagstaff Mile!,Run,Happy 4th 🇺🇸,358,1.61,8,FALSE,,activities/2659059968.fit.gz,0,,358,358,5.599999905,,6,6,2103.800049,2109.800049,7.5,-0.099016026,,,96,86.9322052,167,151,,,58,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503740727,"Jul 4, 2019, 2:54:47 PM",Morning Run,Run,,1540,5.06,35,FALSE,,activities/2659218394.fit.gz,0,,1540,1507,4.5,,36,51,2084,2119.399902,33,-0.323918611,,,89,84.53569031,162,151,,,253,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506610215,"Jul 5, 2019, 3:52:15 PM",Willow Lake recovery run ,Run,,3371,9.66,75,FALSE,,activities/2662173681.fit.gz,0,,3371,3020,4.199999809,,42,48,1572.400024,1588.400024,8.399999619,-0.014486455,,,90,83.39489746,168,151,,,501,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507115590,"Jul 4, 2019, 7:00:01 PM",Humphrey’s Peak,Hike,"This AZ native finally did Humphrey’s. Made it up in just over 2 hours, not too shabby!
Elevation gain: 3,333 ft ",18000,16.09,,FALSE,,,0,,18000,18000,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509032432,"Jul 6, 2019, 12:18:00 PM",Long Run w/ DVCC girls,Run,"5x 20 sec hills at end 
2 x 50m strides and 7 x 100 m strides after ",6341,17.18,190,FALSE,,activities/2664611522.fit.gz,0,,6341,5222,4.400000095,,139,115,359.2000122,410.7999878,23.20000076,0.033752721,,,98,84.1095047,179,162,,,927,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514590036,"Jul 8, 2019, 12:27:58 PM",Threshold grass workout,Run,"Warmup, 8x800 w/ 90s rest, 8 strides, cool down 
3:12, 3:09, 3:05, 3:05, 3:07, 3:04, 3:07, 3:05",4647,11.99,81,FALSE,,activities/2670268077.fit.gz,0,,4647,3715,5.5,,25,26,348.2000122,395.3999939,38,-0.168388054,,,96,83.07302094,178,152,,,598,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519329556,"Jul 9, 2019, 1:00:52 PM",Alter G fail,Run,"Intended to do 6 but the Velcro on the shorts ruined my plans, shorts change and recalibration ate up precious time and I had to get to work! Sad. ",1860,6.76,,FALSE,,,0,,1860,1860,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
